id|iata|icao|name|city|subd|countryCode|elevation|lat|lon
A00116|TIZ|AYTA|Tari Airport|Tari|Southern Highlands|PNG|5500.0|-5.8449997902|142.947998047
A00117|TBG|AYTB|Tabubil Airport|Tabubil|Western Province|PNG|1570.0|-5.2786102295|141.2259979248
A00118|TFM|AYTE|Telefomin Airport|Telefomin|Western Province|PNG|4950.0|-5.1260804642|141.641921997
A00119|TPI|AYTI|Tapini Airport|Tapini|Central Province|PNG|3100.0|-8.3566666667|146.989166667
A00120|TAJ|AYTJ|Tadji Airport|Aitape|Sandaun|PNG|33.0|-3.1981918035|142.430963516
A00121|RAB|AYTK|Tokua Airport|Tokua|East New Britain|PNG|32.0|-4.3404598236|152.380004883
A00122|TKW|AYTN|Tekin Airport|Tekin|Sandaun|PNG|5785.0|-5.2436666667|142.165194444
A00123|TFI|AYTU|Tufi Airport|Tufi|Northern Province|PNG|85.0|-9.0759544373|149.319839478
A00124|VAI|AYVN|Vanimo Airport||Sandaun|PNG|10.0|-2.6971700191|141.3020019531
A00125|WAO|AYWB|Wabo Airport|Wabo|Gulf|PNG|132.0|-6.9894444444|145.075111111
A00126|WBM|AYWD|Wapenamanda Airport||Enga|PNG|5889.0|-5.6433000565|143.8950042725
A00127|AGL|AYWG|Wanigela Airport||Northern Province|PNG|53.0|-9.3375|149.155555556
A00128|WWK|AYWK|Wewak International Airport|Wewak|East Sepik|PNG|19.0|-3.5838301182|143.669006348
A00129|WOA|AYWO|Wonenara Airport|Wonenara|Eastern Highlands|PNG|5028.0|-6.7968611111|145.891944444
A00130|WSU|AYWS|Wasu Airport|Wasu|Morobe|PNG|34.0|-5.9617094492|147.19822526
A00131|WTP|AYWT|Woitape Airport|Fatima Mission|Central Province|PNG|5200.0|-8.5458333333|147.2525
A00132|WUG|AYWU|Wau Airport|Wau|Morobe|PNG|3600.0|-7.3455555556|146.718611111
A00133|JEG|BGAA|Aasiaat Airport|Aasiaat|Qaasuitsup|GRL|74.0|68.7218017578|-52.7846984863
A00134|UAK|BGBW|Narsarsuaq Airport|Narsarsuaq|Kujalleq|GRL|112.0|61.1604995728|-45.4259986877
A00135|CNP|BGCO|Neerlerit Inaat Airport|Neerlerit Inaat|Sermersooq|GRL|45.0|70.7431030273|-22.6504993439
A00136|GOH|BGGH|Godthaab / Nuuk Airport|Nuuk||GRL|283.0|64.19090271|-51.6781005859
A00137|JAV|BGJN|Ilulissat Airport|Ilulissat||GRL|95.0|69.2432022095|-51.0570983887
A00138|KUS|BGKK|Kulusuk Airport|Kulusuk|Sermersooq|GRL|117.0|65.573600769|-37.1236000061
A00139|JSU|BGMQ|Maniitsoq Airport|Maniitsoq||GRL|91.0|65.4124984741|-52.9393997192
A00140|JFR|BGPT|Paamiut Airport|Paamiut||GRL|120.0|62.0147361755|-49.6709365845
A00141|NAQ|BGQQ|Qaanaaq Airport|Qaanaaq||GRL|51.0|77.4886016846|-69.3887023926
A00142|SFJ|BGSF|Kangerlussuaq Airport|Kangerlussuaq|Qeqqata|GRL|165.0|67.0122218992|-50.7116031647
A00143|JHS|BGSS|Sisimiut Airport|Sisimiut||GRL|33.0|66.9513015747|-53.7293014526
A00144|THU|BGTL|Thule Air Base|Thule|Qaasuitsup|GRL|251.0|76.5311965942|-68.7032012939
A00145|JUV|BGUK|Upernavik Airport|Upernavik||GRL|414.0|72.7901992798|-56.1305999756
A00146|JQA|BGUQ|Qaarsut Airport|Uummannaq||GRL|289.0|70.7341995239|-52.6962013245
A00147|AEY|BIAR|Akureyri Airport|Akureyri|Northeast|ISL|6.0|65.6600036621|-18.0727005005
A00148|BIU|BIBD|Bildudalur Airport|Bildudalur|Westfjords|ISL|18.0|65.6412963867|-23.5461997986
A00149|BGJ|BIBF|Borgarfjordur eystri Airport|Borgarfjordur eystri|East|ISL|80.0|65.5164031982|-13.8050003052
A00150|BJD|BIBK|Bakkafjordur Airport|Bakkafjordur|Northeast|ISL|14.0|66.0218963623|-14.8243999481
A00151|BLO|BIBL|Hjaltabakki Airport|Blonduos|Northwest|ISL|131.0|65.6449966431|-20.2875003815
A00152|BXV|BIBV|Breiddalsvik Airport|Breiddalsvik|East|ISL|8.0|64.7900009155|-14.0228004456
